# name`tlatitude`tlongitude
亳州	33.87722	115.77028
百色	23.89013	106.62684
浜州	37.36667	118.01667
毕节	27.30193	105.28627
北京	39.9075	116.39723
北海	21.48349	109.11549
马尔康	31.90059	102.22092
邵阳	27.23818	111.46214
保定	38.87288	115.46246
白銀	36.54696	104.17023
安順	26.25	105.93333
安庆	30.51365	117.04723
苏州	31.30408	120.59538
五指山	18.78229	109.5013
张家口	40.78341	114.87139
営口	40.66472	122.23176
延吉	42.88825	129.50241
通辽	43.6125	122.26528
通化	41.71972	125.92639
綏化	46.64814	126.96656
双鴨山	46.67686	131.13273
沈阳	41.79222	123.43278
七台河	45.768	130.9953
齊齊哈爾	47.33922	123.96154
松原	45.12902	124.82769
牡丹江	44.54804	129.62594
辽源	42.88545	125.1367
鶏西	45.29322	130.96217
吉林	43.84652	126.5608
佳木斯	46.79711	130.31118
葫芦岛	40.75243	120.83552
呼和浩特	40.81056	111.65222
黑河	50.24413	127.49016
鶴崗	47.34727	130.29033
哈尔滨	45.75	126.65
抚顺	41.88669	123.94363
大庆	46.58333	125
赤峰	42.26833	118.96361
朝阳	41.57028	120.45861
長春	43.88	125.32278
白城	45.61751	122.83302
白山	41.93853	126.41965
鄂州	30.39607	114.88655
攀枝花	26.58509	101.71276
中山	22.52306	113.37912
铜川	34.8988	108.95056
賀州	24.40357	111.56675
香格里拉	27.82511	99.70779
玛沁县	34.47442	100.24496
锡林浩特	43.93889	116.07021
山南	29.24301	91.77239
乌兰察布	40.993	113.133
台州	28.66266	121.43312
文山	23.36306	104.25047
黄冈	30.45143	114.87035
日照	35.41414	119.52908
濮阳	35.75641	115.04363
徐州	34.20442	117.28386
盘锦	41.121	122.0739
连云港	34.59845	119.21556
晋中	37.68403	112.75471
宝鶏	34.36775	107.23705
陇南	33.39791	104.91703
巴中	31.8694	106.74432
图木舒克	39.86984	79.06118
崇左	22.38161	107.3683
防城港	21.76945	108.35661
石嘴山	38.98082	106.3892
河池	24.69285	108.08376
庆阳	35.70976	107.64455
大兴安岭	52.33385	124.71242
呼伦贝尔	49.21141	119.75582
蒙自	23.36779	103.38212
泸水	25.8232	98.85853
吕梁	37.5192	111.14436
Nyingchi	29.64885	94.35509
Lhünzhub	29.8931	91.26166
Chéngguān Qū	29.63842	91.04441
望德堂区	22.1999	113.54895
風順堂區	22.18851	113.53488
